Year,Null,Afghanistan,Albania,Algeria,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belgium,Benin,Bolivia,Bosnia,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Haiti,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kenya,"Korea, South",Kuwait,Kyrgyzstan,Latvia,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Mali,Mexico,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Scotland,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,The Bahamas,Trinidadian and Tobagonian,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Venezuela,Vietnam,Zimbabwe
1975,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,145,0,16,0,1,0,0,0,0,0,0,0,0,0,5,3,4,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23,0,0,3,4,0,0,0,0,0,0,0,1,0,3,0,20,660,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,102,0,7,0,0,0,0,0,1,0,0,0,0,0,1,23,62,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,26,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,110,545,0,1,0,0
1977,0,0,0,0,0,1,10,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,6,2,0,0,0,0,0,2,25,0,62,0,0,0,0,0,0,0,0,0,0,2,3,25,99,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,42,0,0,0,0,0,0,0,0,0,0,2,0,0,8,127,0,0,0,0,0,0,0,0,3,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,87,747,1,0,0,0
1978,0,0,0,0,1,3,6,0,0,302,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,113,0,35,0,0,0,0,0,0,0,0,0,0,0,1,42,55,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,29,0,0,10,0,0,0,1,12,28,0,0,20,7,0,0,0,0,0,0,0,0,0,1,0,76,538,0,0,0,0
1979,0,0,0,0,5,0,3,0,0,25,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0,0,1,0,3,10,1,0,0,0,0,0,104,0,82,0,1,1,0,0,0,0,0,0,0,0,4,42,33,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,4,0,0,0,1,0,0,0,0,3,0,11,0,0,0,125,0,0,0,0,0,0,0,0,33,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,100,610,0,1,0,0
1980,0,0,0,0,0,1,6,0,0,2,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,53,0,0,0,0,0,0,54,0,51,0,0,0,0,0,2,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,11,25,0,0,0,0,0,0,0,0,7,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,12,404,0,0,0,0
1981,0,0,0,0,1,4,14,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,2,90,0,23,0,0,0,0,3,0,0,0,0,0,3,2,29,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,1,0,5,0,1,0,20,0,0,0,0,0,1,0,0,21,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,269,1044,1,0,0,0
1982,0,0,0,0,2,2,14,0,0,5,0,0,0,0,0,0,0,0,4,25,0,2,2,0,0,8,0,0,4,2,0,0,0,0,0,0,228,0,85,0,9,0,0,1,0,0,0,0,0,0,3,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,5,0,0,0,27,0,0,0,0,0,0,0,0,1,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,51,322,0,1,0,0
1983,0,0,0,0,0,3,7,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,42,2,0,3,8,0,0,0,0,0,18,56,0,39,0,0,0,0,7,2,2,0,0,0,0,0,34,34,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,4,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,10,27,0,0,0,0,0,0,0,0,0,1,0,159,663,0,1,0,0
1984,0,0,0,0,0,1,3,0,0,6,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,20,0,0,2,3,0,0,0,0,0,9,29,0,53,0,1,0,0,1,0,0,0,0,0,0,0,21,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,19,0,1,0,1,1,0,1,0,0,0,0,0,5,0,0,5,9,0,0,0,0,0,0,0,0,0,2,0,18,655,0,0,0,0
1985,0,0,0,0,0,3,8,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,9,0,0,0,1,0,0,119,1,141,0,0,0,0,12,0,0,0,0,0,0,0,47,3,0,0,0,0,2,0,0,9,0,0,0,7,0,0,0,28,0,0,0,1,0,0,0,0,0,0,28,0,0,0,48,0,0,0,0,0,0,0,0,37,0,0,4,49,0,0,0,0,0,0,0,0,0,1,0,44,475,0,0,0,0
1986,0,0,0,0,4,2,6,0,0,6,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,69,0,50,0,0,0,0,0,0,0,0,0,0,0,0,88,37,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,4,11,0,0,0,0,0,0,0,0,30,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,53,635,0,0,0,0
1987,0,0,0,0,1,5,67,0,0,46,0,0,0,0,0,0,0,0,7,1,0,28,0,0,0,0,2,0,6,0,0,0,0,0,0,4,155,0,68,0,0,0,1,0,0,0,0,0,0,0,2,48,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,2,0,28,0,0,0,23,0,0,0,0,0,0,0,0,36,0,0,2,60,0,0,0,0,0,0,0,0,0,2,0,71,650,0,0,0,0
1988,0,0,0,0,0,38,21,0,0,72,0,0,0,0,0,0,0,0,26,8,1,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,103,0,66,0,1,0,0,1,0,0,0,0,0,0,2,25,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,5,29,0,0,0,0,0,0,0,0,0,0,0,81,563,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,61,0,100,0,3,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,8,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,67,454,0,0,0,0
1990,0,0,0,0,6,1,12,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,6,44,0,136,0,0,0,0,0,0,0,0,0,0,0,2,8,33,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,134,0,0,45,31,0,0,0,0,0,0,0,0,0,0,0,45,620,0,0,0,0
1991,0,0,0,0,2,1,2,0,0,18,0,0,0,10,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,53,0,59,0,0,0,0,0,0,0,0,0,0,0,1,9,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,31,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,41,554,0,0,0,0
1992,0,0,0,0,2,0,8,1,0,5,0,0,0,1,0,0,0,0,4,92,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,9,92,0,85,0,0,0,0,0,2,0,0,0,0,0,0,72,12,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,14,0,0,0,4,0,0,0,0,2,0,15,0,0,0,9,0,0,0,0,0,0,0,0,91,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,35,665,0,0,0,0
1993,0,0,0,0,1,0,13,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,0,1,77,0,93,0,0,0,0,0,0,0,0,0,0,0,0,21,26,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,61,0,0,5,52,0,0,0,0,0,0,0,0,0,17,0,25,899,0,1,0,0
1994,0,0,0,0,4,0,8,0,0,3,0,0,0,8,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,84,0,67,0,0,0,0,0,0,0,0,0,0,0,0,17,26,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,1,0,0,0,0,0,0,15,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,51,628,1,0,0,0
1995,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,8,0,11,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,7,25,0,47,0,0,0,0,1,0,2,0,0,0,0,0,52,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,22,724,0,0,0,0
1996,0,0,0,0,2,2,9,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,7,32,0,101,0,0,0,0,0,0,0,0,2,0,0,0,13,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,104,0,0,0,1,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,2,26,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,95,635,0,0,0,0
1997,0,0,0,0,3,1,15,0,0,1,0,0,0,13,0,0,0,0,2,2,3,0,0,0,0,0,2,0,0,5,0,0,0,0,0,7,60,0,57,0,0,0,0,0,1,0,0,0,0,0,0,27,15,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,23,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,90,554,0,0,0,0
1998,0,0,0,0,0,5,68,0,0,4,0,0,0,6,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0,312,0,2,0,1,9,0,2,0,0,0,0,6,32,52,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5,1,0,0,2,0,0,0,0,0,0,7,0,1,1,32,2,0,0,0,0,0,0,28,12,0,0,0,45,0,0,0,3,0,0,0,0,0,1,0,45,621,0,0,0,0
1999,0,0,0,0,1,2,4,0,0,3,0,0,0,9,0,0,0,0,103,0,8,0,0,0,0,0,1,0,121,3,0,0,0,0,0,1,279,0,362,0,1,0,0,0,0,0,0,0,0,0,1,12,7,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,26,0,0,0,0,0,0,0,0,0,0,2,7,0,0,48,0,0,0,0,0,0,0,6,13,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,99,598,0,0,0,0
2000,0,0,0,0,2,11,10,0,0,1,0,0,0,29,0,0,0,0,8,0,0,0,0,0,0,0,4,0,3,5,0,0,0,0,0,5,211,0,40,0,0,0,0,2,22,0,0,1,0,0,1,90,31,0,2,0,0,0,0,0,6,0,0,0,13,0,0,0,15,0,0,0,0,1,0,0,0,0,0,10,0,0,0,4,0,0,1,0,0,0,0,1,5,0,0,2,31,0,1,0,1,1,0,0,0,0,0,0,94,1296,0,0,0,0
2001,0,0,0,0,4,0,10,0,0,12,0,0,1,53,0,0,0,0,5,0,0,0,0,0,0,33,2,0,17,20,0,0,0,0,0,14,80,104,216,0,0,0,0,8,0,4,0,0,0,0,0,57,30,0,1,0,0,23,0,0,0,0,0,1,7,0,0,0,30,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2062,1,0,0,0,0,0,0,12,13,0,0,11,23,0,0,0,0,1,0,0,1,0,160,0,75,864,0,3,0,0
2002,0,0,0,0,1,0,4,0,0,7,0,0,0,3,0,0,0,0,3,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,3,0,31,0,0,0,0,0,1,0,0,0,0,0,9,3,146,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,9,0,0,0,3,10,0,0,0,0,0,2,0,0,0,26,0,0,0,0,0,0,0,8,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,70,270,0,12,0,0
2003,0,0,0,0,21,11,2,0,0,1,0,0,0,1,0,0,0,0,9,0,2,0,0,0,0,0,9,0,0,1,0,0,0,0,0,1,66,0,39,0,0,0,0,0,3,0,0,0,0,0,1,11,2,0,5,0,0,0,1,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,51,343,3,1,0,0
2004,0,0,1,0,1,0,17,0,0,4,0,0,0,5,4,0,0,0,42,2,18,1,0,0,0,0,5,0,0,5,0,0,0,0,0,8,6,0,21,0,0,0,0,0,0,0,0,1,0,1,1,93,12,0,1,0,0,0,1,0,0,0,0,0,11,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,4,58,0,0,0,0,0,0,0,1,0,0,0,76,413,2,9,0,0
2005,0,0,3,0,5,15,82,0,0,21,0,0,0,69,2,0,0,0,116,0,15,34,0,0,0,3,13,0,5,30,0,1,0,0,0,27,95,3,477,0,4,0,0,0,5,4,0,5,0,0,9,66,108,2,9,0,0,0,0,0,0,0,0,0,19,0,0,0,38,0,0,1,4,4,0,0,0,1,0,20,0,0,0,0,27,0,0,0,0,0,5,71,40,0,0,13,81,0,2,0,1,0,0,0,0,0,0,0,186,2214,4,3,0,0
2006,0,0,3,0,19,3,139,1,0,10,0,0,2,12,2,0,0,0,12,0,8,2,0,0,2,13,0,1,8,12,0,4,0,0,0,2,52,0,115,0,0,0,0,4,3,3,0,0,0,4,5,25,36,0,4,0,2,0,0,2,20,0,2,0,18,0,0,0,96,1,0,0,4,0,0,0,0,0,0,8,0,0,3,17,7,0,1,0,1,75,1,61,18,0,0,5,32,0,0,0,6,0,0,0,8,0,1,0,152,681,0,0,0,0
2007,0,0,0,0,214,0,17,0,0,145,0,0,1,18,0,0,0,0,63,0,17,13,0,0,0,13,2,0,1,6,0,1,0,0,0,0,52,0,65,1,0,0,0,0,0,2,0,2,0,1,2,31,188,9,1,0,0,0,0,0,0,0,0,0,2,0,0,2,117,0,0,0,1,0,0,0,0,4,0,19,0,0,3,13,1,0,0,0,0,0,0,48,7,0,0,0,223,0,0,0,0,0,0,0,0,1,0,0,234,795,0,25,0,0
2008,0,1,0,0,6,1,85,0,0,13,0,0,0,43,0,0,0,0,67,0,37,4,0,0,0,0,6,0,184,116,0,0,0,0,0,0,493,1,344,1,6,0,0,1,1,0,0,0,0,1,9,88,349,0,0,0,0,0,32,12,1,0,0,0,10,0,0,0,64,2,0,0,5,27,0,0,0,7,0,8,3,0,0,5,1,0,0,0,0,0,0,12,5,0,0,13,169,0,0,0,7,0,0,0,0,0,0,0,154,4750,1,2,0,0
2009,0,0,0,0,17,0,10,0,0,20,0,0,0,22,0,0,0,0,2,0,4,257,0,0,0,0,1,0,0,3,0,0,0,0,0,0,210,0,29,0,0,0,0,1,0,0,0,0,0,0,4,11,21,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,28,0,0,0,1,0,0,0,0,0,0,7,0,0,0,22,1,0,1,0,0,1,0,24,9,0,0,4,58,0,0,0,0,0,0,0,0,0,0,0,33,740,0,5,1,0
2010,0,0,0,0,10,5,23,0,0,3,0,0,0,5,0,0,0,13,2,2,31,124,0,0,0,4,0,0,7,6,0,0,0,0,0,0,41,0,314,0,0,0,0,6,0,0,0,0,0,0,9,132,36,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,2,0,0,0,0,0,0,15,0,0,6,1,0,0,0,0,0,1,1,38,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,19,644,2,5,0,8
2011,0,0,0,0,21,0,42,0,0,95,0,0,2,12,0,0,0,0,9,0,5,42,0,0,0,25,0,0,1,12,0,0,0,0,0,0,94,1,421,0,0,0,0,0,1,24,0,2,0,26,2,9,5,0,1,0,0,0,1,1,0,0,0,0,7,0,0,0,23,0,0,0,4,0,0,0,0,1,0,11,0,0,5,1,0,0,52,0,0,0,0,11,1,0,0,3,14,0,0,0,4,0,0,0,3,0,0,0,143,899,0,0,0,0
2012,0,0,17,0,31,0,70,0,0,3,0,0,0,6,0,0,0,0,4,0,4,37,0,0,0,9,7,0,1,1,0,7,0,0,0,1,56,0,205,1,0,0,0,13,0,2,0,0,0,1,18,197,91,0,3,0,0,0,5,0,0,0,2,0,4,1,0,0,11,0,0,0,48,0,0,0,0,26,0,12,124,0,0,2,13,0,2,0,0,0,11,1,69,0,0,3,209,0,0,0,1,0,0,0,7,0,0,0,154,1510,1,0,0,0
2013,0,0,0,0,11,0,22,0,0,8,0,0,0,14,0,0,0,0,120,13,5,0,0,0,0,4,0,0,9,6,0,0,0,0,0,1,714,1,163,1,0,0,0,653,1,18,0,0,0,1,7,194,133,0,2,0,0,0,5,0,0,0,0,0,18,3,0,0,34,0,0,3,3,0,0,0,0,0,0,13,0,0,11,15,2,0,0,0,0,0,0,5,58,0,0,4,52,0,0,0,0,1,0,0,0,0,7,0,86,1979,0,18,0,0
2014,0,0,0,0,1119,3,25,0,0,5,0,0,0,22,0,0,0,0,7,85,4,40,0,0,0,5,2,0,20,4,0,1,0,0,0,0,27,0,97,0,0,0,0,16,2,0,0,0,0,1,3,3,43,0,1,0,0,0,1,0,0,0,1,0,128,1,0,0,423,3,0,0,0,0,0,0,0,25,0,18,13,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,27,0,0,0,2,0,0,0,1,0,1,0,258,1408,58,80,1,0
2015,0,0,0,0,48,9,3,0,0,26,0,0,0,35,0,0,0,0,72,12,5,36,0,0,0,34,34,0,11,2,0,30,0,0,0,1,80,1,1197,0,17,0,0,34,3,16,0,5,0,1,70,86,54,0,2,0,0,0,0,0,0,0,0,0,34,0,0,0,109,1,0,6,0,0,0,0,0,15,0,49,14,14,0,9,0,0,0,0,0,0,3,11,40,0,0,0,115,0,0,0,2,0,0,0,0,0,0,0,131,1542,7,39,0,0
2016,0,0,0,2,45,2,2,0,0,2,0,0,0,119,0,0,0,0,20,26,78,0,0,0,0,8,2,0,5,1,0,17,0,0,0,3,73,0,172,0,0,0,0,0,0,0,0,0,0,0,1,193,121,0,10,0,0,1,2,0,1,0,0,0,18,0,0,0,5,2,0,0,0,5,1,0,0,0,1,0,1,0,0,13,0,0,20,0,0,0,0,1,14,0,0,11,24,0,0,0,0,0,0,0,2,0,0,0,114,951,4,50,0,0
2017,0,0,0,0,23,0,1,0,0,3,0,0,0,72,0,0,0,0,3,14,5,41,0,0,0,0,4,0,5,2,0,0,0,0,0,0,78,0,74,0,0,3,0,3,1,18,0,0,0,0,4,53,5,0,1,0,0,0,2,0,0,0,0,0,11,0,0,0,31,4,0,0,0,0,14,0,0,6,0,2,0,0,2,4,0,0,0,0,0,0,1,1,7,0,36,2,77,0,0,0,2,0,0,0,1,0,0,0,29,498,5,42,0,0
2018,0,0,0,10,65,1,18,0,2,5,0,0,12,29,1,26,0,0,9,37,28,4,0,0,0,6,11,0,4,2,0,0,0,0,0,2,137,0,327,0,2,0,1,15,1,99,0,0,0,2,1,31,17,0,13,0,0,10,13,8,0,14,0,4,17,9,0,0,88,0,0,0,4,2,0,0,0,0,1,19,0,0,0,178,0,0,7,0,0,0,5,3,7,0,14,8,94,0,0,0,1,0,0,0,0,0,1,0,37,970,37,25,0,1
2019,0,0,0,0,2,4,0,0,0,0,3,0,4,7,0,0,0,0,18,0,42,2,20,0,481,2,1,0,0,27,0,0,2,0,0,6,215,0,10,0,1,0,0,0,0,3,0,0,0,0,0,3,24,0,0,0,0,1,1,0,0,5,0,8,0,0,0,0,41,0,0,7,0,0,0,0,0,1,0,0,0,0,0,4,0,0,144,1,1,0,1,38,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,45,549,0,1,0,0
2020,0,0,0,0,9,0,1,0,0,0,0,0,0,7,0,0,0,0,54,0,304,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,7,0,0,1,2,7,3,29,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,16,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,21,2151,0,17,0,0
2021,0,0,0,0,8,2,0,0,0,2,0,0,5,19,0,0,0,0,2,29,8,1,0,0,0,40,1,0,0,1,0,13,1,0,0,0,20,0,39,5,0,0,0,0,0,1,0,1,13,1,4,3,4,0,1,0,0,0,1,0,0,0,0,0,4,0,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,35,707,0,0,0,0
2022,0,0,0,0,40,1,0,0,0,5,0,0,0,15,0,0,0,3,10,2,3,8,0,0,0,0,5,0,0,0,0,13,0,0,1,0,14,0,14,0,0,1,1,0,0,3,0,0,1,0,1,0,10,4,0,0,0,0,0,0,0,0,0,1,5,0,0,0,16,0,0,1,2,0,0,0,0,1,0,18,0,0,11,4,0,0,0,0,0,0,0,14,0,0,0,47,5,0,0,0,0,0,0,0,0,0,0,0,55,367,0,19,0,0
2023,0,0,0,0,22,0,1,0,2,2,0,0,0,2,0,0,0,0,2,2,1,9,0,0,0,0,3,0,21,0,0,0,0,0,1,0,12,0,11,0,1,0,0,1,1,28,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,50,0,9,4,1,0,6,0,0,31,0,3,0,0,0,17,0,1,1,0,0,0,0,2,0,0,50,0,0,0,1,34,1,1,0,1,0,0,4,0,1,0,0,0,0,0,56,190,0,2,0,0
2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,1,0,0